,GO_id,GO_name,GO_kind
64,GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle,biological_process
65,GO:0000084,mitotic S phase,biological_process
66,GO:0000085,mitotic G2 phase,biological_process
67,GO:0000086,G2/M transition of mitotic cell cycle,biological_process
68,GO:0000087,mitotic M phase,biological_process
69,GO:0000088,mitotic prophase,biological_process
70,GO:0000089,mitotic metaphase,biological_process
71,GO:0000090,mitotic anaphase,biological_process
72,GO:0000091,mitotic anaphase A,biological_process
73,GO:0000092,mitotic anaphase B,biological_process
74,GO:0000093,mitotic telophase,biological_process
75,GO:0000094,obsolete septin assembly and septum formation,biological_process
76,GO:0000095,S-adenosyl-L-methionine transmembrane transporter activity,molecular_function
77,GO:0000096,sulfur amino acid metabolic process,biological_process
78,GO:0000097,sulfur amino acid biosynthetic process,biological_process
79,GO:0000098,sulfur amino acid catabolic process,biological_process
80,GO:0000099,sulfur amino acid transmembrane transporter activity,molecular_function
81,GO:0000100,S-methylmethionine transmembrane transporter activity,molecular_function
82,GO:0000101,sulfur amino acid transport,biological_process
83,GO:0000102,L-methionine secondary active transmembrane transporter activity,molecular_function
84,GO:0000103,sulfate assimilation,biological_process
85,GO:0000104,succinate dehydrogenase activity,molecular_function
86,GO:0000105,histidine biosynthetic process,biological_process
87,GO:0000107,imidazoleglycerol-phosphate synthase activity,molecular_function
88,GO:0000108,obsolete repairosome,cellular_component
89,GO:0000109,nucleotide-excision repair complex,cellular_component
90,GO:0000110,nucleotide-excision repair factor 1 complex,cellular_component
91,GO:0000111,nucleotide-excision repair factor 2 complex,cellular_component
92,GO:0000112,nucleotide-excision repair factor 3 complex,cellular_component
93,GO:0000113,nucleotide-excision repair factor 4 complex,cellular_component
94,GO:0000114,obsolete regulation of transcription involved in G1 phase of mitotic cell cycle,biological_process
95,GO:0000115,obsolete regulation of transcription involved in S phase of mitotic cell cycle,biological_process
96,GO:0000116,obsolete regulation of transcription involved in G2-phase of mitotic cell cycle,biological_process
97,GO:0000117,regulation of transcription involved in G2/M transition of mitotic cell cycle,biological_process
98,GO:0000118,histone deacetylase complex,cellular_component
99,GO:0000120,RNA polymerase I transcription regulator complex,cellular_component
100,GO:0000121,glycerol-1-phosphatase activity,molecular_function
101,GO:0000122,negative regulation of transcription by RNA polymerase II,biological_process
102,GO:0000123,histone acetyltransferase complex,cellular_component
103,GO:0000124,SAGA complex,cellular_component
104,GO:0000125,PCAF complex,cellular_component
105,GO:0000126,transcription factor TFIIIB complex,cellular_component
106,GO:0000127,transcription factor TFIIIC complex,cellular_component
107,GO:0000128,flocculation,biological_process
108,GO:0000131,incipient cellular bud site,cellular_component
109,GO:0000132,establishment of mitotic spindle orientation,biological_process
110,GO:0000133,polarisome,cellular_component
111,GO:0000136,mannan polymerase complex,cellular_component
112,GO:0000137,Golgi cis cisterna,cellular_component
113,GO:0000138,Golgi trans cisterna,cellular_component
114,GO:0000139,Golgi membrane,cellular_component
115,GO:0000140,acylglycerone-phosphate reductase activity,molecular_function
116,GO:0000142,cellular bud neck contractile ring,cellular_component
117,GO:0000144,cellular bud neck septin ring,cellular_component
118,GO:0000145,exocyst,cellular_component
119,GO:0000146,microfilament motor activity,molecular_function
120,GO:0000147,actin cortical patch assembly,biological_process
121,GO:0000148,"1,3-beta-D-glucan synthase complex",cellular_component
122,GO:0000149,SNARE binding,molecular_function
123,GO:0000150,recombinase activity,molecular_function
124,GO:0000151,ubiquitin ligase complex,cellular_component
125,GO:0000152,nuclear ubiquitin ligase complex,cellular_component
126,GO:0000153,cytoplasmic ubiquitin ligase complex,cellular_component
127,GO:0000154,rRNA modification,biological_process
128,GO:0000155,phosphorelay sensor kinase activity,molecular_function
129,GO:0000156,phosphorelay response regulator activity,molecular_function
130,GO:0000159,protein phosphatase type 2A complex,cellular_component
131,GO:0000160,phosphorelay signal transduction system,biological_process
132,GO:0000161,osmosensory signaling MAPK cascade,biological_process
133,GO:0000162,tryptophan biosynthetic process,biological_process
134,GO:0000164,protein phosphatase type 1 complex,cellular_component
135,GO:0000165,MAPK cascade,biological_process
136,GO:0000166,nucleotide binding,molecular_function
137,GO:0000167,activation of MAPKKK activity involved in osmosensory signaling pathway,biological_process
138,GO:0000168,activation of MAPKK activity involved in osmosensory signaling pathway,biological_process
139,GO:0000169,activation of MAPK activity involved in osmosensory signaling pathway,biological_process
140,GO:0000170,sphingosine hydroxylase activity,molecular_function
141,GO:0000171,ribonuclease MRP activity,molecular_function
142,GO:0000172,ribonuclease MRP complex,cellular_component
143,GO:0000173,inactivation of MAPK activity involved in osmosensory signaling pathway,biological_process
144,GO:0000174,obsolete inactivation of MAPK (mating sensu Saccharomyces),biological_process
145,GO:0000175,3'-5'-exoribonuclease activity,molecular_function
146,GO:0000176,nuclear exosome (RNase complex),cellular_component
147,GO:0000177,cytoplasmic exosome (RNase complex),cellular_component
148,GO:0000178,exosome (RNase complex),cellular_component
149,GO:0000179,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",molecular_function
150,GO:0000180,obsolete cytosolic large ribosomal subunit,cellular_component
151,GO:0000181,obsolete cytosolic small ribosomal subunit,cellular_component
152,GO:0000182,rDNA binding,molecular_function
153,GO:0000183,rDNA heterochromatin assembly,biological_process
154,GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",biological_process
155,GO:0000185,activation of MAPKKK activity,biological_process
156,GO:0000186,activation of MAPKK activity,biological_process
157,GO:0000187,activation of MAPK activity,biological_process
158,GO:0000188,inactivation of MAPK activity,biological_process
159,GO:0000189,obsolete MAPK import into nucleus,biological_process
160,GO:0000190,obsolete MAPKKK cascade (pseudohyphal growth),biological_process
161,GO:0000191,obsolete activation of MAPKKK (pseudohyphal growth),biological_process
162,GO:0000192,obsolete activation of MAPKK (pseudohyphal growth),biological_process
163,GO:0000193,obsolete activation of MAPK (pseudohyphal growth),biological_process
164,GO:0000194,obsolete inactivation of MAPK (pseudohyphal growth),biological_process
165,GO:0000195,obsolete nuclear translocation of MAPK (pseudohyphal growth),biological_process
166,GO:0000196,cell wall integrity MAPK cascade,biological_process
167,GO:0000197,activation of MAPKKK activity involved in cell wall organization or biogenesis,biological_process
168,GO:0000198,activation of MAPKK activity involved in cell wall organization or biogenesis,biological_process
169,GO:0000199,activation of MAPK activity involved in cell wall organization or biogenesis,biological_process
170,GO:0000200,inactivation of MAPK activity involved in cell wall organization or biogenesis,biological_process
171,GO:0000201,obsolete MAPK import into nucleus involved in cell wall organization or biogenesis,biological_process
172,GO:0000202,obsolete MAPKKK cascade during sporulation (sensu Saccharomyces),biological_process
173,GO:0000203,obsolete activation of MAPKKK during sporulation (sensu Saccharomyces),biological_process
174,GO:0000204,obsolete activation of MAPKK during sporulation (sensu Saccharomyces),biological_process
175,GO:0000205,obsolete activation of MAPK during sporulation (sensu Saccharomyces),biological_process
176,GO:0000206,obsolete inactivation of MAPK during sporulation (sensu Saccharomyces),biological_process
177,GO:0000207,obsolete nuclear translocation of MAPK during sporulation (sensu Saccharomyces),biological_process
178,GO:0000208,obsolete MAPK import into nucleus involved in osmosensory signaling pathway,biological_process
179,GO:0000209,protein polyubiquitination,biological_process
180,GO:0000210,NAD+ diphosphatase activity,molecular_function
181,GO:0000211,obsolete protein degradation tagging activity,molecular_function
182,GO:0000212,meiotic spindle organization,biological_process
183,GO:0000213,tRNA-intron endonuclease activity,molecular_function
184,GO:0000214,tRNA-intron endonuclease complex,cellular_component
185,GO:0000215,tRNA 2'-phosphotransferase activity,molecular_function
186,GO:0000216,obsolete M/G1 transition of mitotic cell cycle,biological_process
187,GO:0000217,DNA secondary structure binding,molecular_function
188,GO:0000219,obsolete vacuolar hydrogen-transporting ATPase,cellular_component
189,GO:0000220,"vacuolar proton-transporting V-type ATPase, V0 domain",cellular_component
190,GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain",cellular_component
191,GO:0000222,"plasma membrane proton-transporting V-type ATPase, V0 domain",cellular_component
192,GO:0000223,"plasma membrane proton-transporting V-type ATPase, V1 domain",cellular_component
193,GO:0000224,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity,molecular_function
194,GO:0000225,N-acetylglucosaminylphosphatidylinositol deacetylase activity,molecular_function
195,GO:0000226,microtubule cytoskeleton organization,biological_process
196,GO:0000227,oxaloacetate secondary active transmembrane transporter activity,molecular_function
197,GO:0000228,nuclear chromosome,cellular_component
198,GO:0000229,cytoplasmic chromosome,cellular_component
199,GO:0000230,obsolete nuclear mitotic chromosome,cellular_component
200,GO:0000231,obsolete cytoplasmic mitotic chromosome,cellular_component
201,GO:0000232,obsolete nuclear interphase chromosome,cellular_component
202,GO:0000233,obsolete cytoplasmic interphase chromosome,cellular_component
203,GO:0000234,phosphoethanolamine N-methyltransferase activity,molecular_function
204,GO:0000235,astral microtubule,cellular_component
205,GO:0000236,mitotic prometaphase,biological_process
206,GO:0000237,leptotene,biological_process
207,GO:0000238,zygotene,biological_process
208,GO:0000239,pachytene,biological_process
209,GO:0000240,diplotene,biological_process
210,GO:0000241,diakinesis,biological_process
211,GO:0000242,pericentriolar material,cellular_component
212,GO:0000243,commitment complex,cellular_component
213,GO:0000244,spliceosomal tri-snRNP complex assembly,biological_process
214,GO:0000245,spliceosomal complex assembly,biological_process
215,GO:0000246,delta24(24-1) sterol reductase activity,molecular_function
216,GO:0000247,C-8 sterol isomerase activity,molecular_function
217,GO:0000248,C-5 sterol desaturase activity,molecular_function
218,GO:0000249,C-22 sterol desaturase activity,molecular_function
219,GO:0000250,lanosterol synthase activity,molecular_function
220,GO:0000252,C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity,molecular_function
221,GO:0000253,3-keto sterol reductase activity,molecular_function
222,GO:0000254,C-4 methylsterol oxidase activity,molecular_function
223,GO:0000255,allantoin metabolic process,biological_process
224,GO:0000256,allantoin catabolic process,biological_process
225,GO:0000257,nitrilase activity,molecular_function
226,GO:0000258,obsolete isoleucine/valine:sodium symporter activity,molecular_function
227,GO:0000259,obsolete intracellular nucleoside transmembrane transporter activity,molecular_function
228,GO:0000260,obsolete hydrogen-translocating V-type ATPase activity,molecular_function
229,GO:0000261,obsolete sodium-translocating V-type ATPase activity,molecular_function
230,GO:0000262,mitochondrial chromosome,cellular_component
231,GO:0000263,"obsolete heterotrimeric G-protein GTPase, alpha-subunit",molecular_function
232,GO:0000264,"obsolete heterotrimeric G-protein GTPase, beta-subunit",molecular_function
233,GO:0000265,"obsolete heterotrimeric G-protein GTPase, gamma-subunit",molecular_function
234,GO:0000266,mitochondrial fission,biological_process
235,GO:0000267,obsolete cell fraction,cellular_component
236,GO:0000268,peroxisome targeting sequence binding,molecular_function
237,GO:0000269,toxin export channel activity,molecular_function
238,GO:0000270,peptidoglycan metabolic process,biological_process
239,GO:0000271,polysaccharide biosynthetic process,biological_process
240,GO:0000272,polysaccharide catabolic process,biological_process
241,GO:0000274,"mitochondrial proton-transporting ATP synthase, stator stalk",cellular_component
242,GO:0000275,"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)",cellular_component
243,GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",cellular_component
244,GO:0000277,[cytochrome c]-lysine N-methyltransferase activity,molecular_function
245,GO:0000278,mitotic cell cycle,biological_process
246,GO:0000279,M phase,biological_process
247,GO:0000280,nuclear division,biological_process
248,GO:0000281,mitotic cytokinesis,biological_process
249,GO:0000282,cellular bud site selection,biological_process
250,GO:0000284,obsolete shmoo orientation,biological_process
251,GO:0000285,1-phosphatidylinositol-3-phosphate 5-kinase activity,molecular_function
252,GO:0000286,alanine dehydrogenase activity,molecular_function
253,GO:0000287,magnesium ion binding,molecular_function
254,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",biological_process
255,GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,biological_process
256,GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,biological_process
257,GO:0000291,"nuclear-transcribed mRNA catabolic process, exonucleolytic",biological_process
258,GO:0000292,RNA fragment catabolic process,biological_process
259,GO:0000293,ferric-chelate reductase activity,molecular_function
260,GO:0000294,"nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay",biological_process
261,GO:0000295,adenine nucleotide transmembrane transporter activity,molecular_function
262,GO:0000296,spermine transport,biological_process
263,GO:0000297,spermine transmembrane transporter activity,molecular_function
264,GO:0000298,endopolyphosphatase activity,molecular_function
265,GO:0000299,obsolete integral to membrane of membrane fraction,cellular_component
266,GO:0000300,obsolete peripheral to membrane of membrane fraction,cellular_component
267,GO:0000301,"retrograde transport, vesicle recycling within Golgi",biological_process
268,GO:0000302,response to reactive oxygen species,biological_process
269,GO:0000303,response to superoxide,biological_process
270,GO:0000304,response to singlet oxygen,biological_process
271,GO:0000305,response to oxygen radical,biological_process
272,GO:0000306,extrinsic component of vacuolar membrane,cellular_component
273,GO:0000307,cyclin-dependent protein kinase holoenzyme complex,cellular_component
274,GO:0000308,cytoplasmic cyclin-dependent protein kinase holoenzyme complex,cellular_component
275,GO:0000309,nicotinamide-nucleotide adenylyltransferase activity,molecular_function
276,GO:0000310,xanthine phosphoribosyltransferase activity,molecular_function
277,GO:0000311,plastid large ribosomal subunit,cellular_component
278,GO:0000312,plastid small ribosomal subunit,cellular_component
279,GO:0000313,organellar ribosome,cellular_component
280,GO:0000314,organellar small ribosomal subunit,cellular_component
281,GO:0000315,organellar large ribosomal subunit,cellular_component
282,GO:0000316,sulfite transport,biological_process
283,GO:0000319,sulfite transmembrane transporter activity,molecular_function
284,GO:0000320,re-entry into mitotic cell cycle,biological_process
285,GO:0000321,re-entry into mitotic cell cycle after pheromone arrest,biological_process
286,GO:0000322,storage vacuole,cellular_component
287,GO:0000323,lytic vacuole,cellular_component
288,GO:0000324,fungal-type vacuole,cellular_component
289,GO:0000325,plant-type vacuole,cellular_component
290,GO:0000326,protein storage vacuole,cellular_component
291,GO:0000327,lytic vacuole within protein storage vacuole,cellular_component
292,GO:0000328,fungal-type vacuole lumen,cellular_component
293,GO:0000329,fungal-type vacuole membrane,cellular_component
294,GO:0000330,plant-type vacuole lumen,cellular_component
295,GO:0000331,contractile vacuole,cellular_component
296,GO:0000332,template for synthesis of G-rich strand of telomere DNA activity,molecular_function
297,GO:0000333,telomerase catalytic core complex,cellular_component
298,GO:0000334,"3-hydroxyanthranilate 3,4-dioxygenase activity",molecular_function
299,GO:0000335,"negative regulation of transposition, DNA-mediated",biological_process
300,GO:0000336,"positive regulation of transposition, DNA-mediated",biological_process
301,GO:0000337,"regulation of transposition, DNA-mediated",biological_process
302,GO:0000338,protein deneddylation,biological_process
303,GO:0000339,RNA cap binding,molecular_function
304,GO:0000340,RNA 7-methylguanosine cap binding,molecular_function
305,GO:0000341,RNA trimethylguanosine cap binding,molecular_function
306,GO:0000342,RNA cap 4 binding,molecular_function
307,GO:0000343,plastid-encoded plastid RNA polymerase complex A,cellular_component
308,GO:0000344,plastid-encoded plastid RNA polymerase complex B,cellular_component
309,GO:0000345,cytosolic DNA-directed RNA polymerase complex,cellular_component
310,GO:0000346,transcription export complex,cellular_component
311,GO:0000347,THO complex,cellular_component
312,GO:0000348,mRNA branch site recognition,biological_process
313,GO:0000349,generation of catalytic spliceosome for first transesterification step,biological_process
314,GO:0000350,generation of catalytic spliceosome for second transesterification step,biological_process
315,GO:0000352,trans assembly of SL-containing precatalytic spliceosome,biological_process
316,GO:0000353,formation of quadruple SL/U4/U5/U6 snRNP,biological_process
317,GO:0000354,cis assembly of pre-catalytic spliceosome,biological_process
318,GO:0000362,obsolete first U2-type spliceosomal transesterification activity,molecular_function
319,GO:0000363,obsolete first U12-type spliceosomal transesterification activity,molecular_function
320,GO:0000364,obsolete second U2-type spliceosomal transesterification activity,molecular_function
321,GO:0000365,"mRNA trans splicing, via spliceosome",biological_process
322,GO:0000366,intergenic mRNA trans splicing,biological_process
323,GO:0000367,obsolete second U12-type spliceosomal transesterification activity,molecular_function
324,GO:0000372,Group I intron splicing,biological_process
325,GO:0000373,Group II intron splicing,biological_process
326,GO:0000374,Group III intron splicing,biological_process
327,GO:0000375,"RNA splicing, via transesterification reactions",biological_process
328,GO:0000376,"RNA splicing, via transesterification reactions with guanosine as nucleophile",biological_process
329,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",biological_process
330,GO:0000378,RNA exon ligation,biological_process
331,GO:0000379,tRNA-type intron splice site recognition and cleavage,biological_process
332,GO:0000380,"alternative mRNA splicing, via spliceosome",biological_process
333,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",biological_process
334,GO:0000384,first spliceosomal transesterification activity,molecular_function
335,GO:0000386,second spliceosomal transesterification activity,molecular_function
336,GO:0000387,spliceosomal snRNP assembly,biological_process
337,GO:0000388,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11),biological_process
338,GO:0000389,mRNA 3'-splice site recognition,biological_process
339,GO:0000390,spliceosomal complex disassembly,biological_process
340,GO:0000393,spliceosomal conformational changes to generate catalytic conformation,biological_process
341,GO:0000394,"RNA splicing, via endonucleolytic cleavage and ligation",biological_process
342,GO:0000395,mRNA 5'-splice site recognition,biological_process
343,GO:0000398,"mRNA splicing, via spliceosome",biological_process
344,GO:0000399,cellular bud neck septin structure,cellular_component
345,GO:0000400,four-way junction DNA binding,molecular_function
346,GO:0000401,open form four-way junction DNA binding,molecular_function
347,GO:0000402,crossed form four-way junction DNA binding,molecular_function
348,GO:0000403,Y-form DNA binding,molecular_function
349,GO:0000404,heteroduplex DNA loop binding,molecular_function
350,GO:0000405,bubble DNA binding,molecular_function
351,GO:0000406,double-strand/single-strand DNA junction binding,molecular_function
352,GO:0000407,phagophore assembly site,cellular_component
353,GO:0000408,EKC/KEOPS complex,cellular_component
354,GO:0000409,regulation of transcription by galactose,biological_process
355,GO:0000410,carbon catabolite repression of transcription by galactose,biological_process
356,GO:0000411,positive regulation of transcription by galactose,biological_process
357,GO:0000412,histone peptidyl-prolyl isomerization,biological_process
358,GO:0000413,protein peptidyl-prolyl isomerization,biological_process
359,GO:0000414,regulation of histone H3-K36 methylation,biological_process
360,GO:0000415,negative regulation of histone H3-K36 methylation,biological_process
361,GO:0000416,positive regulation of histone H3-K36 methylation,biological_process
362,GO:0000417,HIR complex,cellular_component
363,GO:0000418,RNA polymerase IV complex,cellular_component
364,GO:0000419,RNA polymerase V complex,cellular_component
365,GO:0000421,autophagosome membrane,cellular_component
366,GO:0000422,autophagy of mitochondrion,biological_process
367,GO:0000423,mitophagy,biological_process
368,GO:0000424,micromitophagy,biological_process
369,GO:0000425,pexophagy,biological_process
370,GO:0000426,micropexophagy,biological_process
371,GO:0000427,plastid-encoded plastid RNA polymerase complex,cellular_component
372,GO:0000428,DNA-directed RNA polymerase complex,cellular_component
373,GO:0000429,carbon catabolite regulation of transcription from RNA polymerase II promoter,biological_process
374,GO:0000430,regulation of transcription from RNA polymerase II promoter by glucose,biological_process
375,GO:0000431,regulation of transcription from RNA polymerase II promoter by galactose,biological_process
376,GO:0000432,positive regulation of transcription from RNA polymerase II promoter by glucose,biological_process
377,GO:0000433,carbon catabolite repression of transcription from RNA polymerase II promoter by glucose,biological_process
378,GO:0000434,carbon catabolite repression of transcription from RNA polymerase II promoter by galactose,biological_process
379,GO:0000435,positive regulation of transcription from RNA polymerase II promoter by galactose,biological_process
380,GO:0000436,carbon catabolite activation of transcription from RNA polymerase II promoter,biological_process
381,GO:0000437,carbon catabolite repression of transcription from RNA polymerase II promoter,biological_process
382,GO:0000438,core TFIIH complex portion of holo TFIIH complex,cellular_component
383,GO:0000439,transcription factor TFIIH core complex,cellular_component
384,GO:0000440,core TFIIH complex portion of NEF3 complex,cellular_component
385,GO:0000444,MIS12/MIND type complex,cellular_component
386,GO:0000445,THO complex part of transcription export complex,cellular_component
387,GO:0000446,nucleoplasmic THO complex,cellular_component
388,GO:0000447,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
389,GO:0000448,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
390,GO:0000449,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)",biological_process
391,GO:0000450,"cleavage of bicistronic rRNA transcript (SSU-rRNA, LSU-rRNA)",biological_process
392,GO:0000451,rRNA 2'-O-methylation,biological_process
393,GO:0000452,snoRNA guided rRNA 2'-O-methylation,biological_process
394,GO:0000453,enzyme-directed rRNA 2'-O-methylation,biological_process
395,GO:0000454,snoRNA guided rRNA pseudouridine synthesis,biological_process
396,GO:0000455,enzyme-directed rRNA pseudouridine synthesis,biological_process
397,GO:0000456,obsolete dimethylation involved in SSU-rRNA maturation,biological_process
398,GO:0000457,"endonucleolytic cleavage between SSU-rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)",biological_process
399,GO:0000458,"endonucleolytic cleavage between LSU-rRNA and 5S rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)",biological_process
400,GO:0000459,exonucleolytic trimming involved in rRNA processing,biological_process
401,GO:0000460,maturation of 5.8S rRNA,biological_process
402,GO:0000461,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
403,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
404,GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
405,GO:0000464,"endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
406,GO:0000465,"exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
407,GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
408,GO:0000467,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
409,GO:0000468,"generation of mature 3'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
410,GO:0000469,cleavage involved in rRNA processing,biological_process
411,GO:0000470,maturation of LSU-rRNA,biological_process
412,GO:0000471,"endonucleolytic cleavage in 3'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
413,GO:0000472,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
414,GO:0000473,"maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)",biological_process
415,GO:0000474,"maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)",biological_process
416,GO:0000475,maturation of 2S rRNA,biological_process
417,GO:0000476,maturation of 4.5S rRNA,biological_process
418,GO:0000477,"generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
419,GO:0000478,endonucleolytic cleavage involved in rRNA processing,biological_process
420,GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
421,GO:0000480,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
422,GO:0000481,maturation of 5S rRNA,biological_process
423,GO:0000482,"maturation of 5S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
